geoid,place,County-Person-age-Years5Onwards-nativity-USC_ForeignBorn,County-Person-age-Years25Onwards-educationalAttainment-RegularHighSchoolDiploma,County-Person-age-Years18Onwards-armedForcesStatus-Civilian-veteranStatus-Veteran,County-Person-placeOfBirth-BornInStateOfResidence,County-Person-gender-Female,County-Person-race-USC_TwoOrMoreRaces,County-Person-age-Years15Onwards-income-USDollar75000Onwards-incomeStatus-WithIncome,County-HousingUnit-occupancyStatus-OccupiedHousingUnit-occupancyTenure-OwnerOccupied,County-Person-povertyStatus-BelowPovertyLevelInThePast12Months,County-Person-age-Years15Onwards-maritalStatus-NowMarriedExceptSeparated,County-Person
26027,Cass County,1027,11962,4669,25839,26151,1689,2463,16446,7503,23482,52212
20161,Riley County,4614,5813,5064,35861,34610,2534,4032,11001,14858,24268,73243
27159,Wadena County,134,3118,1222,11021,7015,138,486,4386,2282,6073,13772
26025,Calhoun County,4905,26843,11349,106356,69396,4135,7359,37214,23525,51871,135534
29207,Stoddard County,118,7435,2906,23649,15477,246,1356,8768,4367,13493,29860
29039,Cedar County,158,3473,1478,8764,6957,296,311,4233,3142,6296,13903
26023,Branch County,1130,10405,3137,32588,21397,592,1595,12366,7835,18131,44398
22079,Rapides Parish,3157,24852,10775,104446,68376,1782,7304,31443,25444,44783,132034
22065,Madison Parish,27,2540,738,8044,6037,69,247,2192,4275,3124,12049
24013,Carroll County,5786,31862,13155,111417,84677,2879,25833,49228,9088,77618,167261
29067,Douglas County,62,3771,1425,8453,6869,66,236,4021,3028,6574,13647
20079,Harvey County,1608,5660,2228,24587,18018,843,2070,9608,4273,15816,34722
26105,Mason County,515,6180,2607,23452,14433,520,1456,9242,4580,13818,28648
29071,Franklin County,1163,19944,8051,81517,51100,919,5951,30080,12495,46013,101569
29073,Gasconade County,106,4129,1329,12690,7665,121,542,4760,2175,6887,15083
28099,Neshoba County,330,4838,1721,25447,15469,320,1061,7924,6992,10777,29655
28159,Winston County,104,3602,1102,16783,9800,42,595,5446,5522,6768,19052
24003,Anne Arundel County,43485,82518,54387,274815,275062,17829,96140,148360,33352,229599,544426
29083,Henry County,270,5416,2212,16003,11351,288,803,6986,3901,10090,22183
22003,Allen Parish,1228,5865,1686,20325,10839,719,1355,5856,3443,9012,25674
27011,Big Stone County,53,1510,483,3947,2669,58,257,1879,630,2716,5209
21045,Casey County,188,2998,1211,12460,8153,135,321,4886,4186,7334,16006
20123,Mitchell County,34,1265,419,4640,3139,6,373,1973,582,3128,6368
20069,Gray County,581,925,239,4102,3076,94,429,1567,663,2813,6012
20193,Thomas County,180,1019,531,5407,4034,129,572,2137,846,3232,7902
26077,Kalamazoo County,12046,33388,15405,184204,128962,8054,18833,64758,46696,92620,252763
28059,Jackson County,4844,24000,14074,81659,70986,2152,8572,35426,22006,54540,139906
27153,Todd County,843,5642,2035,19897,12061,322,874,8223,3825,11739,24697
22113,Vermilion Parish,1374,14385,3304,52164,30047,926,3815,16378,9833,23505,58394
21073,Franklin County,1630,8304,4043,37079,25359,1249,3406,13126,7884,18532,49390
28145,Union County,826,4759,1681,20928,14090,354,947,7511,6332,12245,27338
26121,Muskegon County,3234,32243,13255,142809,86431,5894,6877,48390,32858,65698,171153
29019,Boone County,10273,16511,9703,103270,85664,5846,12378,37458,31187,59236,165776
26071,Iron County,216,3428,1476,8208,5930,143,331,4467,1601,5336,11723
20033,Comanche County,38,354,140,1334,972,7,54,597,118,939,1905
20169,Saline County,2798,10199,4288,38987,28198,1855,2928,14889,9431,22388,55633
23005,Cumberland County,16354,41690,22138,165944,145684,4948,28972,80009,31357,118723,283046
21069,Fleming County,27,3024,951,11549,7383,188,448,4348,3182,6317,14435
22087,St. Bernard Parish,1924,8801,1564,32615,19336,843,1736,9484,7197,14329,38850
22015,Bossier Parish,5039,20255,12194,72948,60799,2582,9872,30661,16848,46470,119947
20083,Hodgeman County,105,360,163,1468,973,24,143,653,99,1050,1946
27035,Crow Wing County,878,11798,5869,48223,31448,534,3533,20084,8018,29267,62742
27041,Douglas County,304,7410,3269,28934,18105,442,2415,12017,3855,18298,36264
23009,Hancock County,1619,11455,5513,32352,27909,734,3762,18067,7405,25592,54557
29069,Dunklin County,801,6721,2353,21347,16542,427,990,7905,7960,12234,31916
26109,Menominee County,238,6745,2598,13436,11883,588,861,8717,3193,11051,23917
29007,Audrain County,386,6693,1954,20062,13781,661,671,6917,4049,10768,25584
26039,Crawford County,233,3274,1611,11723,6915,205,466,4747,2278,6475,14017
28003,Alcorn County,524,6819,2377,24461,18950,609,1339,10431,7552,15817,37159
21041,Carroll County,500,2297,777,6845,5325,181,450,2684,3109,4103,10902
20177,Shawnee County,8072,30620,16162,121544,92009,8133,11193,46770,29175,70899,178378
26127,Oceana County,1582,5531,2394,20944,13178,482,726,7787,5200,12113,26456
20047,Edwards County,357,606,229,2108,1440,31,142,956,373,1511,2998
21239,Woodford County,1407,4051,2093,17597,12525,482,2256,7027,2867,11225,24988
21077,Gallatin County,408,1692,721,5930,4310,147,257,2047,1741,3321,8525
26063,Huron County,547,9963,2670,29409,16517,285,1289,11354,5106,15553,32751
27123,Ramsey County,72308,67518,28775,313411,265471,18727,49621,122732,84942,184157,515732
20119,Meade County,376,869,345,2779,2175,43,173,1229,416,2145,4486
